Position,Cost,Asset
910.0000,50488.6000,55864.9000
910.0000,50488.6000,56019.6000
910.0000,50488.6000,56001.4000
910.0000,50488.6000,56511.0000
910.0000,50488.6000,56438.2000
920.0000,51106.7000,56865.2000
920.0000,51106.7000,56626.0000
920.0000,51106.7000,56699.6000
920.0000,51106.7000,57076.8000
920.0000,51106.7000,56957.2000
920.0000,51106.7000,57058.4000
920.0000,51106.7000,57417.2000
920.0000,51106.7000,56644.4000
920.0000,51106.7000,56828.4000
930.0000,51725.7000,57567.0000
930.0000,51725.7000,57613.5000
930.0000,51725.7000,57799.5000
930.0000,51725.7000,57548.4000
930.0000,51725.7000,57846.0000
940.0000,52347.1000,58411.6000
940.0000,52347.1000,57979.2000
940.0000,52347.1000,58383.4000
940.0000,52347.1000,58449.2000
940.0000,52347.1000,58731.2000
950.0000,52975.5000,59698.0000
950.0000,52975.5000,59603.0000
950.0000,52975.5000,59612.5000
950.0000,52975.5000,59375.0000
950.0000,52975.5000,59622.0000
950.0000,52975.5000,59565.0000
950.0000,52975.5000,59859.5000
950.0000,52975.5000,58738.5000
950.0000,52975.5000,58662.5000
960.0000,53599.6000,59913.6000
960.0000,53599.6000,58876.8000
960.0000,53599.6000,59020.8000
960.0000,53599.6000,59635.2000
960.0000,53599.6000,59299.2000
970.0000,54220.0000,60178.8000
970.0000,54220.0000,61003.3000
970.0000,54220.0000,61721.1000
970.0000,54220.0000,61459.2000
970.0000,54220.0000,61750.2000
980.0000,54854.4000,62171.2000
980.0000,54854.4000,62249.6000
980.0000,54854.4000,62288.8000
980.0000,54854.4000,62347.6000
980.0000,54854.4000,62377.0000
990.0000,55482.9000,62221.5000
990.0000,55482.9000,62845.2000
990.0000,55482.9000,62973.9000
990.0000,55482.9000,62399.7000
990.0000,55482.9000,62518.5000
1000.0000,56120.0000,63710.0000
1000.0000,56120.0000,63510.0000
1000.0000,56120.0000,63180.0000
1000.0000,56120.0000,63700.0000
1010.0000,56759.0000,64539.0000
1010.0000,56759.0000,64367.3000
1010.0000,56759.0000,64599.6000
1010.0000,56759.0000,63943.1000
1010.0000,56759.0000,62983.6000
1020.0000,57387.6000,64117.2000
1020.0000,57387.6000,64596.6000
1020.0000,57387.6000,65086.2000
1020.0000,57387.6000,65963.4000
1020.0000,57387.6000,65932.8000
1030.0000,58032.7000,66445.3000
1030.0000,58032.7000,65755.2000
1030.0000,58032.7000,65672.8000
