Position,Cost,Asset
917.3974,47000.0000,51741.2148
917.3974,47000.0000,51851.3025
917.3974,47000.0000,52007.2601
917.3974,47000.0000,52475.1327
917.3974,47000.0000,52273.3053
934.8130,48000.0000,53676.9602
934.8130,48000.0000,53648.9158
934.8130,48000.0000,54163.0629
934.8130,48000.0000,53546.0864
934.8130,48000.0000,54275.2405
934.8130,48000.0000,54153.7148
934.8130,48000.0000,54144.3667
934.8130,48000.0000,54069.5816
934.8130,48000.0000,54518.2918
952.0454,49000.0000,55247.1961
952.0454,49000.0000,55685.1370
952.0454,49000.0000,56237.3233
952.0454,49000.0000,56151.6392
952.0454,49000.0000,56313.4870
968.9516,50000.0000,57313.4870
968.9516,50000.0000,56199.1926
968.9516,50000.0000,56460.8096
968.9516,50000.0000,56964.6644
968.9516,50000.0000,57332.8660
985.8150,51000.0000,58458.8297
985.8150,51000.0000,58823.5813
985.8150,51000.0000,59651.6659
985.8150,51000.0000,59976.9848
985.8150,51000.0000,60065.7082
1002.2381,52000.0000,61026.2756
1002.2381,52000.0000,61036.2979
1002.2381,52000.0000,61477.2827
1002.2381,52000.0000,61106.4546
1002.2381,52000.0000,61417.1484
1018.4745,53000.0000,62727.8422
1018.4745,53000.0000,63440.7743
1018.4745,53000.0000,63522.2523
1018.4745,53000.0000,62921.3524
1018.4745,53000.0000,63267.6337
1034.6898,54000.0000,63809.3202
1034.6898,54000.0000,64595.6844
1034.6898,54000.0000,64036.9519
1034.6898,54000.0000,63519.6070
1051.0511,55000.0000,64240.2408
1051.0511,55000.0000,64524.0246
1051.0511,55000.0000,64072.0726
1051.0511,55000.0000,63956.4570
1051.0511,55000.0000,64334.8354
1067.5011,56000.0000,64893.3939
1067.5011,56000.0000,64124.7931
1067.5011,56000.0000,64957.4440
1067.5011,56000.0000,64743.9438
1067.5011,56000.0000,64605.1686
1084.3192,57000.0000,64473.6174
1084.3192,57000.0000,64376.0287
1084.3192,57000.0000,65471.1910
1084.3192,57000.0000,65839.8596
1084.3192,57000.0000,66512.1374
1100.6404,58000.0000,67436.2351
1100.6404,58000.0000,67084.0302
1100.6404,58000.0000,66929.9405
1100.6404,58000.0000,67491.2671
1100.6404,58000.0000,66126.4731
1117.6558,59000.0000,65684.6342
1117.6558,59000.0000,65729.3404
1117.6558,59000.0000,65136.9828
1117.6558,59000.0000,65997.5778
1117.6558,59000.0000,65338.1609
1134.8528,60000.0000,65991.6876
1134.8528,60000.0000,66116.5214
1134.8528,60000.0000,65946.2935
1134.8528,60000.0000,65299.4274
1134.8528,60000.0000,64096.4835
1152.8125,61000.0000,64188.6013
1152.8125,61000.0000,66044.6294
1152.8125,61000.0000,65226.1325
1152.8125,61000.0000,65998.5169
1152.8125,61000.0000,65537.3919
1152.8125,61000.0000,65998.5169
1152.8125,61000.0000,65618.0888
1152.8125,61000.0000,65583.5044
1152.8125,61000.0000,64200.1294
1170.8761,62000.0000,64819.7013
1170.8761,62000.0000,64913.3713
1170.8761,62000.0000,65896.9073
1170.8761,62000.0000,67606.3864
1170.8761,62000.0000,66529.1804
1188.1502,63000.0000,68782.0178
1188.1502,63000.0000,67427.5265
1188.1502,63000.0000,67736.4456
1188.1502,63000.0000,67451.2895
1188.1502,63000.0000,67902.7866
1205.5537,64000.0000,69271.1132
1205.5537,64000.0000,70561.0556
1205.5537,64000.0000,71091.4992
1205.5537,64000.0000,70934.7772
1205.5537,64000.0000,69451.9462
1222.9299,65000.0000,70379.6130
1222.9299,65000.0000,69829.2946
1222.9299,65000.0000,70306.2372
1222.9299,65000.0000,69927.1290
1222.9299,65000.0000,71015.5366
1239.9222,66000.0000,72969.4218
1239.9222,66000.0000,73130.6117
1239.9222,66000.0000,73626.5806
1239.9222,66000.0000,73403.3946
