Position,Cost,Asset
1454.5619,79306.8497,90677.3895
1454.5619,79306.8497,89804.6523
1471.1457,80306.8497,88710.0832
1471.1457,80306.8497,88489.4113
1471.1457,80306.8497,88871.9092
1471.1457,80306.8497,88665.9488
1471.1457,80306.8497,88048.0676
1471.1457,80306.8497,88209.8937
1471.1457,80306.8497,88327.5853
1471.1457,80306.8497,89416.2331
1487.8485,81306.8497,89077.4905
1487.8485,81306.8497,89806.5363
1487.8485,81306.8497,88869.1918
1487.8485,81306.8497,87946.7257
1487.8485,81306.8497,86369.6062
1504.9104,82306.8497,88202.8014
1504.9104,82306.8497,86998.8731
1504.9104,82306.8497,87495.4935
1504.9104,82306.8497,86095.9268
1504.9104,82306.8497,85825.0429
1522.1965,83306.8497,88059.0695
1522.1965,83306.8497,89155.0510
1522.1965,83306.8497,89307.2706
1522.1965,83306.8497,89900.9273
1539.0117,84306.8497,91525.0279
1539.0117,84306.8497,92125.2424
1539.0117,84306.8497,91401.9069
1539.0117,84306.8497,93125.6001
1539.0117,84306.8497,93187.1605
1555.4294,85306.8497,94741.2048
1555.4294,85306.8497,93870.1643
1555.4294,85306.8497,93621.2956
1555.4294,85306.8497,92439.1692
1555.4294,85306.8497,93792.3928
1572.2418,86306.8497,93516.9407
1572.2418,86306.8497,94696.1220
1572.2418,86306.8497,95780.9689
1572.2418,86306.8497,94884.7911
1572.2418,86306.8497,93689.8873
1589.0541,87306.8497,94516.9407
1589.0541,87306.8497,96169.5570
1589.0541,87306.8497,97424.9098
1589.0541,87306.8497,96900.5219
1589.0541,87306.8497,95232.0151
1605.7014,88306.8497,96454.4827
1605.7014,88306.8497,96582.9388
1605.7014,88306.8497,95747.9741
1605.7014,88306.8497,94784.5532
1622.6937,89306.8497,95495.5270
1622.6937,89306.8497,100022.8425
1622.6937,89306.8497,100720.6008
1622.6937,89306.8497,100250.0196
1638.9830,90306.8497,100617.1691
1638.9830,90306.8497,100895.7962
1638.9830,90306.8497,100863.0165
1638.9830,90306.8497,101780.8470
1638.9830,90306.8497,101649.7284
1655.1617,91306.8497,102305.5420
1655.1617,91306.8497,101875.1999
1655.1617,91306.8497,102007.6129
1655.1617,91306.8497,102686.2291
1655.1617,91306.8497,102471.0581
1655.1617,91306.8497,102653.1259
1655.1617,91306.8497,103298.6390
1655.1617,91306.8497,101908.3032
1655.1617,91306.8497,102239.3355
1671.3167,92306.8497,103454.5065
1671.3167,92306.8497,103538.0723
1671.3167,92306.8497,103872.3357
1671.3167,92306.8497,103421.0802
1671.3167,92306.8497,103955.9015
1687.4094,93306.8497,104855.6225
1687.4094,93306.8497,104079.4142
1687.4094,93306.8497,104805.0002
1687.4094,93306.8497,104923.1189
1687.4094,93306.8497,105429.3417
1703.3229,94306.8497,107036.8091
1703.3229,94306.8497,106866.4768
1703.3229,94306.8497,106883.5101
1703.3229,94306.8497,106457.6794
1703.3229,94306.8497,106900.5433
1703.3229,94306.8497,106798.3439
1703.3229,94306.8497,107326.3740
1703.3229,94306.8497,105316.4530
1703.3229,94306.8497,105180.1872
1719.3459,95306.8497,107304.3803
1719.3459,95306.8497,105447.4867
1719.3459,95306.8497,105705.3886
1719.3459,95306.8497,106805.7700
1719.3459,95306.8497,106203.9989
1735.4646,96306.8497,107668.2223
1735.4646,96306.8497,109143.3672
1735.4646,96306.8497,110427.6110
